#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
13.7%	137000	-15366.52852128273	301.9215160415039	1.28e+03
13.8%	138000	-15325.521444288664	299.96815548459983	1.28e+03
13.9%	139000	-15359.439217951498	299.8282542968767	1.28e+03
14.0%	140000	-15121.787008351988	280.75697156087836	1.28e+03
14.1%	141000	-15298.248201187671	298.45381150016595	1.28e+03
14.2%	142000	-15132.575074841363	308.53235968955136	1.28e+03
14.3%	143000	-15251.665059181098	278.28393648157896	1.27e+03
14.4%	144000	-15213.833798483553	291.8388576806288	1.27e+03
14.5%	145000	-15246.049948291147	310.7623016666285	1.27e+03
14.6%	146000	-15311.002452339693	308.0746211458613	1.26e+03
14.7%	147000	-15150.24218906078	307.67656659870585	1.27e+03
14.8%	148000	-14976.666659503411	306.8158921338917	1.27e+03
14.9%	149000	-15210.31757899381	306.90189594516374	1.27e+03
15.0%	150000	-15304.128187515453	292.61236004642507	1.27e+03
15.1%	151000	-15244.06563588429	295.15724159423576	1.27e+03
15.2%	152000	-15427.481682707534	290.29109161672017	1.27e+03
15.3%	153000	-15441.43223371679	314.0225408855098	1.27e+03
15.4%	154000	-15281.492579441088	291.8899130463739	1.27e+03
15.5%	155000	-15057.327281261794	299.72560555651324	1.27e+03
15.6%	156000	-15262.037748563802	303.3979825485959	1.27e+03
15.7%	157000	-15293.631102541498	305.28858042086586	1.27e+03
15.8%	158000	-15154.599239290284	303.7799041805301	1.27e+03
15.9%	159000	-15160.639247806837	282.6939046507531	1.27e+03
16.0%	160000	-15188.970179820739	308.7467044107679	1.27e+03
16.1%	161000	-15297.510227033294	309.0481551600364	1.27e+03
16.2%	162000	-15223.698398400542	277.70255016468025	1.27e+03
16.3%	163000	-15225.838661141526	310.38988260523405	1.27e+03
16.4%	164000	-15295.851264455297	295.39744394016355	1.27e+03
16.5%	165000	-15454.046576771398	321.0204127314464	1.27e+03
16.6%	166000	-15347.645166671871	304.34022190360093	1.27e+03
16.7%	167000	-15304.613975104978	311.055949232559	1.27e+03
16.8%	168000	-15319.77657273275	313.1478081014912	1.27e+03
16.9%	169000	-15379.058955898065	295.98118393161826	1.27e+03
17.0%	170000	-15194.634817887621	306.2805116965235	1.27e+03
17.1%	171000	-15183.839616749188	295.26962587769833	1.27e+03
17.2%	172000	-15238.962019910898	289.1539386663876	1.27e+03
17.3%	173000	-15315.603079332483	318.57782454354174	1.27e+03
