#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
21.2%	212000	-758371.0570294335	307.1580980666538	588
21.3%	213000	-758269.2557465967	300.10074653254264	588
21.4%	214000	-758246.7597351613	290.97658373663427	589
21.5%	215000	-758385.2197965367	294.99306823433943	589
21.6%	216000	-758167.2235713701	302.3778542215454	588
21.7%	217000	-758433.6093988871	304.11595451055445	589
21.8%	218000	-758178.4261787231	306.53364578615685	589
21.9%	219000	-758522.12205986	297.0014691124681	589
22.0%	220000	-758384.0964207116	310.5574344529923	589
22.1%	221000	-758428.4476433117	296.93294605406527	589
22.2%	222000	-758492.5364163676	307.1895981175352	589
22.3%	223000	-758434.7032219826	302.56672893140217	590
22.4%	224000	-758407.5657667748	292.8903034093307	590
22.5%	225000	-758669.8494776166	300.34326261613955	590
22.6%	226000	-758585.7351361855	299.22238543664963	590
22.7%	227000	-758603.0592910913	301.97334519416313	590
22.8%	228000	-758459.837289426	313.10881710383734	590
22.9%	229000	-758459.6195221045	300.691527304141	590
23.0%	230000	-758633.4422036626	308.5259906198575	590
23.1%	231000	-758391.8810753071	302.87789727383785	590
23.2%	232000	-758531.0530187099	305.40322728631133	590
23.3%	233000	-758537.6795684244	296.16699512851454	590
23.4%	234000	-758357.0201164884	302.24454564082333	590
23.5%	235000	-758580.0143934316	290.255065367408	591
23.6%	236000	-758560.2832648107	297.7117398410966	591
23.7%	237000	-758524.1688710592	284.1556875755036	591
23.8%	238000	-758475.1621346232	295.1632858776582	591
23.9%	239000	-758567.372171086	299.96186907169414	591
24.0%	240000	-758516.7681429184	301.2475026597339	591
24.1%	241000	-758471.3470437508	293.60608664870654	591
24.2%	242000	-758635.7944703976	290.9655837234436	591
24.3%	243000	-758580.2230406646	300.91753847525086	591
24.4%	244000	-758581.1431151497	288.5922596869479	592
24.5%	245000	-758449.5895182826	295.8850652310541	592
24.6%	246000	-758522.4877129849	295.8878488318295	591
24.7%	247000	-758420.702604536	303.45643792647104	592
24.8%	248000	-758364.6583293213	300.3514294741088	592
24.9%	249000	-758596.1392724048	299.2113025944439	592
25.0%	250000	-758472.2710593119	302.00891892122195	592
25.1%	251000	-758428.777454822	294.2671435523306	592
25.2%	252000	-758680.7128836426	294.42505365910716	592
25.3%	253000	-758637.4337916053	298.0232503463096	592
25.4%	254000	-758370.0031553778	315.8195121103746	592
25.5%	255000	-758557.5430257879	303.3214324209925	592
25.6%	256000	-758600.0676288282	293.1757220726512	592
25.7%	257000	-758677.435463441	304.55394806111445	592
25.8%	258000	-758633.9526549575	295.4209202095105	592
25.9%	259000	-758438.8779392077	288.4849619862921	592
26.0%	260000	-758531.6294366679	295.04849390756374	592
26.1%	261000	-758705.9976368716	302.2570705472456	592
26.2%	262000	-758623.1756311739	302.1020635833612	593
26.3%	263000	-758611.6179898513	293.4591790236842	592
26.4%	264000	-758512.182366416	300.966320483978	592
26.5%	265000	-758669.9501934799	306.56228357409606	593
26.6%	266000	-758700.161329105	297.19298912247206	593
26.7%	267000	-758721.1456921408	287.03789182491454	593
26.8%	268000	-758669.0855211447	301.1377039504743	593
26.9%	269000	-758693.9164760637	295.6267807589311	593
27.0%	270000	-758736.040605137	299.55030167364265	593
27.1%	271000	-758627.7285445272	301.80952902589434	593
27.2%	272000	-758853.0694970242	316.9792697092084	592
27.3%	273000	-758588.3313065819	300.2913125049987	592
27.4%	274000	-758542.3118301837	304.8839098464866	592
27.5%	275000	-758591.1884131711	301.27327993867146	592
27.6%	276000	-758632.191571991	293.98755599387295	592
27.7%	277000	-758649.9833480653	296.71849708961605	593
27.8%	278000	-758627.5441311287	292.22774248119924	593
27.9%	279000	-758793.0951155028	292.39992566843597	593
28.0%	280000	-758449.9611523651	298.70600042276254	593
28.1%	281000	-758721.0818342831	299.9175828104237	593
28.2%	282000	-758764.614907877	309.8995416871621	593
28.3%	283000	-758809.5616689827	304.7730332053937	593
28.4%	284000	-758855.3133643842	292.42343889027364	593
28.5%	285000	-758819.9638412012	297.9887128899092	593
28.6%	286000	-758551.2936352389	299.6329763604768	593
28.7%	287000	-758875.9561904178	304.2823129603383	593
28.8%	288000	-758659.596849191	296.97123625303914	593
28.9%	289000	-758632.9928831201	307.85496322242545	593
29.0%	290000	-758639.2621321351	290.75636117798524	593
29.1%	291000	-758670.4820115328	296.3633895137911	593
29.2%	292000	-758717.8301067329	304.99516147167384	593
29.3%	293000	-758782.6902307284	302.9094506141465	594
29.4%	294000	-758873.6939710544	302.7661090650985	594
29.5%	295000	-758998.5580428679	304.25324627236125	594
29.6%	296000	-758597.8615610604	305.4074506826865	594
29.7%	297000	-758658.9276742457	299.9771159526062	594
29.8%	298000	-758811.0890001283	295.555894576674	594
29.9%	299000	-758718.1082231522	300.2419374549262	594
30.0%	300000	-758764.9354585226	292.8206609246163	594
30.1%	301000	-758762.8290322395	307.0569491127239	594
30.2%	302000	-758787.052964136	312.04457411938205	594
30.3%	303000	-758640.8524584614	301.87117899609706	594
30.4%	304000	-758753.0367288638	308.7849248570803	594
30.5%	305000	-758889.1924630102	294.7263599783015	594
30.6%	306000	-758816.572181384	294.7677457518768	594
30.7%	307000	-758737.2689685675	293.9814368251358	594
30.8%	308000	-758643.0047569503	302.81839170902924	594
30.9%	309000	-758895.7039799629	309.13470752448916	594
31.0%	310000	-758821.2296764071	304.3554284204182	594
31.1%	311000	-758968.2201407568	301.2133934338554	594
31.2%	312000	-759158.9899487784	302.9373264906257	594
31.3%	313000	-758859.4890901321	306.76306711087267	594
31.4%	314000	-758736.4346176682	302.4636582577649	594
31.5%	315000	-759002.4020613558	294.0703461294918	594
31.6%	316000	-758782.7496846018	294.14544477839667	594
31.7%	317000	-758634.9205573953	293.8974097866147	595
31.8%	318000	-758860.9696097285	300.06927258608846	594
31.9%	319000	-758728.4379989	306.25031118475516	594
32.0%	320000	-758931.8151865283	300.55810056830126	594
32.1%	321000	-758911.5813392906	292.8036960084517	595
32.2%	322000	-758662.0625712583	297.1882670460958	595
32.3%	323000	-758652.0049828829	300.8058074818613	595
