Salt,Temperature_C,MW_Salt_g_per_mol,RH_Water_Activity,Mass_Fraction_Salt,Mass_Fraction_Water,Mole_Fraction_Water,Mole_Fraction_Water_Ionic_Basis,Molality_mol_per_kg,Activity_Coefficient_Water,Ionic_Strength_mol_per_kg,ln_aw,ln_gammaw
NaI,30.0000000000,149.8900000000,0.9030171717,0.2709372753,0.7290627247,0.9572448429,0.9179957887,2.4793121287,0.9836833489,2.4793121287,-0.1020137094,-0.0164512336
NaI,30.0000000000,149.8900000000,0.9068848485,0.2644521364,0.7355478636,0.9585785356,0.9204520633,2.3986312189,0.9852602701,2.3986312189,-0.0977397956,-0.0148494391
NaI,30.0000000000,149.8900000000,0.9107525253,0.2577727808,0.7422272192,0.9599315934,0.9229504399,2.3170079295,0.9867837815,2.3170079295,-0.0934840704,-0.0133043299
NaI,30.0000000000,149.8900000000,0.9146202020,0.2508875302,0.7491124698,0.9613049994,0.9254930455,2.2343921157,0.9882518367,2.2343921157,-0.0892463796,-0.0118177183
NaI,30.0000000000,149.8900000000,0.9184878788,0.2437840043,0.7562159957,0.9626997442,0.9280820464,2.1507339338,0.9896623712,2.1507339338,-0.0850265712,-0.0103914332
NaI,30.0000000000,149.8900000000,0.9223555556,0.2364491644,0.7635508356,0.9641168065,0.9307196144,2.0659850154,0.9910133420,2.0659850154,-0.0808244947,-0.0090272816
NaI,30.0000000000,149.8900000000,0.9262232323,0.2288694036,0.7711305964,0.9655571260,0.9334078761,1.9801000883,0.9923027821,1.9801000883,-0.0766400018,-0.0077269944
NaI,30.0000000000,149.8900000000,0.9300909091,0.2210307018,0.7789692982,0.9670215661,0.9361488433,1.8930391772,0.9935288771,1.8930391772,-0.0724729459,-0.0064921514
NaI,30.0000000000,149.8900000000,0.9339585859,0.2129188704,0.7870811296,0.9685108631,0.9389443170,1.8047705421,0.9946900672,1.8047705421,-0.0683231824,-0.0053240806
NaI,30.0000000000,149.8900000000,0.9378262626,0.2045199182,0.7954800818,0.9700255595,0.9417957586,1.7152745389,0.9957851839,1.7152745389,-0.0641905682,-0.0042237235
NaI,30.0000000000,149.8900000000,0.9416939394,0.1958205761,0.8041794239,0.9715659158,0.9447041194,1.6245485969,0.9968136267,1.6245485969,-0.0600749623,-0.0031914606
NaI,30.0000000000,149.8900000000,0.9455616162,0.1868090248,0.8131909752,0.9731317999,0.9476696228,1.5326134884,0.9977755891,1.5326134884,-0.0559762252,-0.0022268886
NaI,30.0000000000,149.8900000000,0.9494292929,0.1774758692,0.8225241308,0.9747225486,0.9506914907,1.4395209986,0.9986723372,1.4395209986,-0.0518942192,-0.0013285450
NaI,30.0000000000,149.8900000000,0.9532969697,0.1678153945,0.8321846055,0.9763368047,0.9537676153,1.3453629421,0.9995065406,1.3453629421,-0.0478288082,-0.0004935812
NaI,30.0000000000,149.8900000000,0.9571646465,0.1578271124,0.8421728876,0.9779723316,0.9568941838,1.2502811841,1.0002826463,1.2502811841,-0.0437798580,0.0002826064
NaI,30.0000000000,149.8900000000,0.9610323232,0.1475175578,0.8524824422,0.9796258217,0.9600652806,1.1544778666,1.0010072676,1.1544778666,-0.0397472356,0.0010067607
NaI,30.0000000000,149.8900000000,0.9649000000,0.1369022065,0.8630977935,0.9812927209,0.9632725131,1.0582244266,1.0016895394,1.0582244266,-0.0357308100,0.0016881137
KBr,30.0000000000,119.0000000000,0.8340000000,0.3400070329,0.6599929671,0.9276528572,0.8650676821,4.3291400053,0.9640864146,4.3291400053,-0.1815218766,-0.0365743467
KBr,30.0000000000,119.0000000000,0.8351797980,0.3393831719,0.6606168281,0.9278392995,0.8653920061,4.3171159234,0.9650884132,4.3171159234,-0.1801082504,-0.0355355620
KBr,30.0000000000,119.0000000000,0.8363595960,0.3387504684,0.6612495316,0.9280281014,0.8657205498,4.3049445875,0.9660849522,4.3049445875,-0.1786966197,-0.0345035064
KBr,30.0000000000,119.0000000000,0.8375393939,0.3381086424,0.6618913576,0.9282193351,0.8660534430,4.2926215354,0.9670758781,4.2926215354,-0.1772869788,-0.0334783190
KBr,30.0000000000,119.0000000000,0.8387191919,0.3374574001,0.6625425999,0.9284130759,0.8663908219,4.2801420952,0.9680610305,4.2801420952,-0.1758793223,-0.0324601456
KBr,30.0000000000,119.0000000000,0.8398989899,0.3367964335,0.6632035665,0.9286094031,0.8667328291,4.2675013725,0.9690402413,4.2675013725,-0.1744736445,-0.0314491392
KBr,30.0000000000,119.0000000000,0.8410787879,0.3361254190,0.6638745810,0.9288083997,0.8670796143,4.2546942361,0.9700133344,4.2546942361,-0.1730699398,-0.0304454608
KBr,30.0000000000,119.0000000000,0.8422585859,0.3354440167,0.6645559833,0.9290101526,0.8674313345,4.2417153026,0.9709801253,4.2417153026,-0.1716682028,-0.0294492792
KBr,30.0000000000,119.0000000000,0.8434383838,0.3347518692,0.6652481308,0.9292147534,0.8677881549,4.2285589198,0.9719404202,4.2285589198,-0.1702684279,-0.0284607725
KBr,30.0000000000,119.0000000000,0.8446181818,0.3340486001,0.6659513999,0.9294222982,0.8681502488,4.2152191492,0.9728940158,4.2152191492,-0.1688706096,-0.0274801280
KBr,30.0000000000,119.0000000000,0.8457979798,0.3333338132,0.6666661868,0.9296328880,0.8685177989,4.2016897462,0.9738406984,4.2016897462,-0.1674747425,-0.0265075427
KBr,30.0000000000,119.0000000000,0.8469777778,0.3326070909,0.6673929091,0.9298466294,0.8688909973,4.1879641396,0.9747802433,4.1879641396,-0.1660808211,-0.0255432248
KBr,30.0000000000,119.0000000000,0.8481575758,0.3318679923,0.6681320077,0.9300636345,0.8692700467,4.1740354085,0.9757124141,4.1740354085,-0.1646888400,-0.0245873937
KBr,30.0000000000,119.0000000000,0.8493373737,0.3311160520,0.6688839480,0.9302840214,0.8696551608,4.1598962582,0.9766369615,4.1598962582,-0.1632987938,-0.0236402810
KBr,30.0000000000,119.0000000000,0.8505171717,0.3303507783,0.6696492217,0.9305079149,0.8700465650,4.1455389931,0.9775536229,4.1455389931,-0.1619106772,-0.0227021315
KBr,30.0000000000,119.0000000000,0.8516969697,0.3295716506,0.6704283494,0.9307354470,0.8704444979,4.1309554877,0.9784621211,4.1309554877,-0.1605244848,-0.0217732041
KBr,30.0000000000,119.0000000000,0.8528767677,0.3287781180,0.6712218820,0.9309667568,0.8708492113,4.1161371553,0.9793621635,4.1161371553,-0.1591402112,-0.0208537728
KBr,30.0000000000,119.0000000000,0.8540565657,0.3279695965,0.6720304035,0.9312019918,0.8712609722,4.1010749134,0.9802534406,4.1010749134,-0.1577578513,-0.0199441279
KBr,30.0000000000,119.0000000000,0.8552363636,0.3271454663,0.6728545337,0.9314413081,0.8716800633,4.0857591465,0.9811356250,4.0857591465,-0.1563773996,-0.0190445772
KBr,30.0000000000,119.0000000000,0.8564161616,0.3263050694,0.6736949306,0.9316848714,0.8721067843,4.0701796650,0.9820083699,4.0701796650,-0.1549988509,-0.0181554473
KBr,30.0000000000,119.0000000000,0.8575959596,0.3254477062,0.6745522938,0.9319328573,0.8725414536,4.0543256611,0.9828713078,4.0543256611,-0.1536222000,-0.0172770852
KBr,30.0000000000,119.0000000000,0.8587757576,0.3245726322,0.6754273678,0.9321854523,0.8729844094,4.0381856597,0.9837240486,4.0381856597,-0.1522474416,-0.0164098597
KBr,30.0000000000,119.0000000000,0.8599555556,0.3236790540,0.6763209460,0.9324428549,0.8734360115,4.0217474659,0.9845661780,4.0217474659,-0.1508745707,-0.0155541632
KBr,30.0000000000,119.0000000000,0.8611353535,0.3227661257,0.6772338743,0.9327052762,0.8738966429,4.0049981071,0.9853972555,4.0049981071,-0.1495035819,-0.0147104141
KBr,30.0000000000,119.0000000000,0.8623151515,0.3218329441,0.6781670559,0.9329729412,0.8743667122,3.9879237690,0.9862168121,3.9879237690,-0.1481344701,-0.0138790579
KBr,30.0000000000,119.0000000000,0.8634949495,0.3208785435,0.6791214565,0.9332460899,0.8748466549,3.9705097275,0.9870243484,3.9705097275,-0.1467672303,-0.0130605707
KBr,30.0000000000,119.0000000000,0.8646747475,0.3199018910,0.6800981090,0.9335249783,0.8753369364,3.9527402725,0.9878193316,3.9527402725,-0.1454018572,-0.0122554607
KBr,30.0000000000,119.0000000000,0.8658545455,0.3189018797,0.6810981203,0.9338098802,0.8758380545,3.9345986259,0.9886011929,3.9345986259,-0.1440383459,-0.0114642714
KBr,30.0000000000,119.0000000000,0.8670343434,0.3178773226,0.6821226774,0.9341010884,0.8763505416,3.9160668515,0.9893693246,3.9160668515,-0.1426766912,-0.0106875847
KBr,30.0000000000,119.0000000000,0.8682141414,0.3168269456,0.6831730544,0.9343989164,0.8768749683,3.8971257579,0.9901230766,3.8971257579,-0.1413168881,-0.0099260238
KBr,30.0000000000,119.0000000000,0.8693939394,0.3157493789,0.6842506211,0.9347037002,0.8774119467,3.8777547916,0.9908617528,3.8777547916,-0.1399589315,-0.0091802571
KBr,30.0000000000,119.0000000000,0.8705737374,0.3146431489,0.6853568511,0.9350158001,0.8779621334,3.8579319229,0.9915846075,3.8579319229,-0.1386028164,-0.0084510019
KBr,30.0000000000,119.0000000000,0.8717535354,0.3135066686,0.6864933314,0.9353356031,0.8785262340,3.8376335212,0.9922908407,3.8376335212,-0.1372485380,-0.0077390285
KBr,30.0000000000,119.0000000000,0.8729333333,0.3123382275,0.6876617725,0.9356635248,0.8791050073,3.8168342229,0.9929795941,3.8168342229,-0.1358960911,-0.0070451649
KBr,30.0000000000,119.0000000000,0.8741131313,0.3111359798,0.6888640202,0.9360000119,0.8796992691,3.7955067899,0.9936499461,3.7955067899,-0.1345454708,-0.0063703013
KBr,30.0000000000,119.0000000000,0.8752929293,0.3098979333,0.6901020667,0.9363455448,0.8803098979,3.7736219602,0.9943009063,3.7736219602,-0.1331966723,-0.0057153955
KBr,30.0000000000,119.0000000000,0.8764727273,0.3086219359,0.6913780641,0.9367006403,0.8809378391,3.7511482943,0.9949314110,3.7511482943,-0.1318496906,-0.0050814779
KBr,30.0000000000,119.0000000000,0.8776525253,0.3073056623,0.6926943377,0.9370658541,0.8815841110,3.7280520173,0.9955403169,3.7280520173,-0.1305045208,-0.0044696572
KBr,30.0000000000,119.0000000000,0.8788323232,0.3059466001,0.6940533999,0.9374417837,0.8822498093,3.7042968638,0.9961263964,3.7042968638,-0.1291611580,-0.0038811255
KBr,30.0000000000,119.0000000000,0.8800121212,0.3045420356,0.6954579644,0.9378290709,0.8829361125,3.6798439318,0.9966883319,3.6798439318,-0.1278195975,-0.0033171638
KBr,30.0000000000,119.0000000000,0.8811919192,0.3030890401,0.6969109599,0.9382284044,0.8836442868,3.6546515551,0.9972247117,3.6546515551,-0.1264798343,-0.0027791465
KBr,30.0000000000,119.0000000000,0.8823717172,0.3015844569,0.6984155431,0.9386405211,0.8843756896,3.6286752100,0.9977340259,3.6286752100,-0.1251418637,-0.0022685453
KBr,30.0000000000,119.0000000000,0.8835515152,0.3000248916,0.6999751084,0.9390662076,0.8851317719,3.6018674749,0.9982146649,3.6018674749,-0.1238056809,-0.0017869307
KBr,30.0000000000,119.0000000000,0.8847313131,0.2984067051,0.7015932949,0.9395062999,0.8859140792,3.5741780724,0.9986649201,3.5741780724,-0.1224712811,-0.0013359719
KBr,30.0000000000,119.0000000000,0.8859111111,0.2967260140,0.7032739860,0.9399616810,0.8867242478,3.5455540316,0.9990829881,3.5455540316,-0.1211386595,-0.0009174326
KBr,30.0000000000,119.0000000000,0.8870909091,0.2949787000,0.7050213000,0.9404332765,0.8875639973,3.5159400219,0.9994669813,3.5159400219,-0.1198078114,-0.0005331608
KBr,30.0000000000,119.0000000000,0.8882707071,0.2931604326,0.7068395674,0.9409220454,0.8884351160,3.4852789244,0.9998149455,3.4852789244,-0.1184787321,-0.0001850716
KBr,30.0000000000,119.0000000000,0.8894505051,0.2912667123,0.7087332877,0.9414289669,0.8893394372,3.4535127293,1.0001248880,3.4535127293,-0.1171514170,0.0001248802
KBr,30.0000000000,119.0000000000,0.8906303030,0.2892929393,0.7107070607,0.9419550190,0.8902788028,3.4205838625,1.0003948204,3.4205838625,-0.1158258613,0.0003947425
KBr,30.0000000000,119.0000000000,0.8918101010,0.2872345183,0.7127654817,0.9425011493,0.8912550105,3.3864370685,1.0006228190,3.3864370685,-0.1145020603,0.0006226251
KBr,30.0000000000,119.0000000000,0.8929898990,0.2850870089,0.7149129911,0.9430682335,0.8922697409,3.3510219842,1.0008071080,3.3510219842,-0.1131800095,0.0008067825
KBr,30.0000000000,119.0000000000,0.8941696970,0.2828463306,0.7171536694,0.9436570211,0.8933244599,3.3142965334,1.0009461702,3.3142965334,-0.1118597042,0.0009457229
KBr,30.0000000000,119.0000000000,0.8953494949,0.2805090340,0.7194909660,0.9442680659,0.8944202930,3.2762312315,1.0010388873,3.2762312315,-0.1105411398,0.0010383481
KBr,30.0000000000,119.0000000000,0.8965292929,0.2780726398,0.7219273602,0.9449016407,0.8955578714,3.2368143954,1.0010847111,3.2368143954,-0.1092243117,0.0010841232
KBr,30.0000000000,119.0000000000,0.8977090909,0.2755360391,0.7244639609,0.9455576406,0.8967371541,3.1960580864,1.0010838592,3.1960580864,-0.1079092154,0.0010832722
KBr,30.0000000000,119.0000000000,0.8988888889,0.2728999357,0.7271000643,0.9462354787,0.8979572378,3.1540043560,1.0010375228,3.1540043560,-0.1065958463,0.0010369850
KBr,30.0000000000,119.0000000000,0.9000686869,0.2701672817,0.7298327183,0.9469339899,0.8992161753,3.1107310405,1.0009480607,3.1107310405,-0.1052841998,0.0009476116
KBr,30.0000000000,119.0000000000,0.9012484848,0.2673436426,0.7326563574,0.9476513565,0.9005108358,3.0663560196,1.0008191451,3.0663560196,-0.1039742716,0.0008188098
KBr,30.0000000000,119.0000000000,0.9024282828,0.2644374021,0.7355625979,0.9483850796,0.9018368428,3.0210386573,1.0006558172,3.0210386573,-0.1026660569,0.0006556022
KBr,30.0000000000,119.0000000000,0.9036080808,0.2614597217,0.7385402783,0.9491320148,0.9031886289,2.9749772399,1.0004644123,2.9749772399,-0.1013595515,0.0004643045
KBr,30.0000000000,119.0000000000,0.9047878788,0.2584241954,0.7415758046,0.9498884832,0.9045596282,2.9284017633,1.0002523334,2.9284017633,-0.1000547508,0.0002523015
KBr,30.0000000000,119.0000000000,0.9059676768,0.2553461977,0.7446538023,0.9506504554,0.9059426006,2.8815623593,1.0000276797,2.8815623593,-0.0987516504,0.0000276793
KBr,30.0000000000,119.0000000000,0.9071474747,0.2522419965,0.7477580035,0.9514137848,0.9073300516,2.8347147508,0.9997987757,2.8347147508,-0.0974502459,-0.0002012446
KBr,30.0000000000,119.0000000000,0.9083272727,0.2491277620,0.7508722380,0.9521744568,0.9087146835,2.7881049526,0.9995736717,2.7881049526,-0.0961505328,-0.0004264192
KBr,30.0000000000,119.0000000000,0.9095070707,0.2460186323,0.7539813677,0.9529288130,0.9100898056,2.7419556421,0.9993596951,2.7419556421,-0.0948525068,-0.0006405099
KBr,30.0000000000,119.0000000000,0.9106868687,0.2429279684,0.7570720316,0.9536737192,0.9114496469,2.6964561012,0.9991631154,2.6964561012,-0.0935561634,-0.0008372350
KBr,30.0000000000,119.0000000000,0.9118666667,0.2398668783,0.7601331217,0.9544066615,0.9127895392,2.6517566402,0.9989889537,2.6517566402,-0.0922614984,-0.0010115578
KBr,30.0000000000,119.0000000000,0.9130464646,0.2368440209,0.7631559791,0.9551257727,0.9141059735,2.6079673677,0.9988409344,2.6079673677,-0.0909685074,-0.0011597379
KBr,30.0000000000,119.0000000000,0.9142262626,0.2338656451,0.7661343549,0.9558298003,0.9153965518,2.5651604178,0.9987215495,2.5651604178,-0.0896771861,-0.0012792684
KBr,30.0000000000,119.0000000000,0.9154060606,0.2309357959,0.7690642041,0.9565180385,0.9166598693,2.5233744210,0.9986321985,2.5233744210,-0.0883875301,-0.0013687377
KBr,30.0000000000,119.0000000000,0.9165858586,0.2280566137,0.7719433863,0.9571902405,0.9178953609,2.4826200544,0.9985733642,2.4826200544,-0.0870995351,-0.0014276544
KBr,30.0000000000,119.0000000000,0.9177656566,0.2252286652,0.7747713348,0.9578465278,0.9191031392,2.4428857574,0.9985447959,2.4428857574,-0.0858131970,-0.0014562639
KBr,30.0000000000,119.0000000000,0.9189454545,0.2224512654,0.7775487346,0.9584873047,0.9202838420,2.4041430217,0.9985456797,2.4041430217,-0.0845285114,-0.0014553788
KBr,30.0000000000,119.0000000000,0.9201252525,0.2197227632,0.7802772368,0.9591131850,0.9214384996,2.3663509423,0.9985747860,2.3663509423,-0.0832454742,-0.0014262306
KBr,30.0000000000,119.0000000000,0.9213050505,0.2170407821,0.7829592179,0.9597249316,0.9225684252,2.3294599223,0.9986305897,2.3294599223,-0.0819640809,-0.0013703488
KBr,30.0000000000,119.0000000000,0.9224848485,0.2144024121,0.7855975879,0.9603234094,0.9236751294,2.2934145551,0.9987113641,2.2934145551,-0.0806843276,-0.0012894669
KBr,30.0000000000,119.0000000000,0.9236646465,0.2118043564,0.7881956436,0.9609095497,0.9247602550,2.2581557708,0.9988152513,2.2581557708,-0.0794062099,-0.0011854511
KBr,30.0000000000,119.0000000000,0.9248444444,0.2092430385,0.7907569615,0.9614843255,0.9258255307,2.2236223608,0.9989403119,2.2236223608,-0.0781297238,-0.0010602499
KBr,30.0000000000,119.0000000000,0.9260242424,0.2067146761,0.7932853239,0.9620487339,0.9268727399,2.1897519928,0.9990845588,2.1897519928,-0.0768548650,-0.0009158605
KBr,30.0000000000,119.0000000000,0.9272040404,0.2042153262,0.7957846738,0.9626037863,0.9279037013,2.1564818160,0.9992459769,2.1564818160,-0.0755816293,-0.0007543076
KBr,30.0000000000,119.0000000000,0.9283838384,0.2017409070,0.7982590930,0.9631505037,0.9289202600,2.1237487360,0.9994225321,2.1237487360,-0.0743100128,-0.0005776347
KBr,30.0000000000,119.0000000000,0.9295636364,0.1992871996,0.8007128004,0.9636899161,0.9299242871,2.0914894192,0.9996121719,2.0914894192,-0.0730400112,-0.0003879033
KBr,30.0000000000,119.0000000000,0.9307434343,0.1968498316,0.8031501684,0.9642230664,0.9309176862,2.0596400663,0.9998128171,2.0596400663,-0.0717716204,-0.0001872004
KBr,30.0000000000,119.0000000000,0.9319232323,0.1944242435,0.8055757565,0.9647510179,0.9319024066,2.0281359745,1.0000223475,2.0281359745,-0.0705048364,0.0000223473
KBr,30.0000000000,119.0000000000,0.9331030303,0.1920056364,0.8079943636,0.9652748645,0.9328804640,1.9969108889,1.0002385797,1.9969108889,-0.0692396552,0.0002385512
KBr,30.0000000000,119.0000000000,0.9342828283,0.1895889004,0.8104110996,0.9657957462,0.9338539680,1.9658961212,1.0004592369,1.9658961212,-0.0679760726,0.0004591315
KBr,30.0000000000,119.0000000000,0.9354626263,0.1871685169,0.8128314831,0.9663148683,0.9348251597,1.9350193894,1.0006819099,1.9350193894,-0.0667140846,0.0006816775
KBr,30.0000000000,119.0000000000,0.9366424242,0.1847384287,0.8152615713,0.9668335277,0.9357964603,1.9042032953,1.0009040042,1.9042032953,-0.0654536872,0.0009035959
KBr,30.0000000000,119.0000000000,0.9378222222,0.1822918656,0.8177081344,0.9673531469,0.9367705367,1.8733633094,1.0011226714,1.8733633094,-0.0641948765,0.0011220417
KBr,30.0000000000,119.0000000000,0.9390020202,0.1798211067,0.8201788933,0.9678753209,0.9377503904,1.8424050527,1.0013347153,1.8424050527,-0.0629376483,0.0013338253
KBr,30.0000000000,119.0000000000,0.9401818182,0.1773171492,0.8226828508,0.9684018813,0.9387394799,1.8112205406,1.0015364628,1.8112205406,-0.0616819988,0.0015352837
KBr,30.0000000000,119.0000000000,0.9413616162,0.1747692346,0.8252307654,0.9689349886,0.9397418959,1.7796828380,1.0017235800,1.7796828380,-0.0604279240,0.0017220963
KBr,30.0000000000,119.0000000000,0.9425414141,0.1721641480,0.8278358520,0.9694772667,0.9407626202,1.7476381853,1.0018908000,1.7476381853,-0.0591754199,0.0018890147
KBr,30.0000000000,119.0000000000,0.9437212121,0.1694851407,0.8305148593,0.9700320116,0.9418079226,1.7148939166,1.0020315071,1.7148939166,-0.0579244826,0.0020294464
KBr,30.0000000000,119.0000000000,0.9449010101,0.1667101922,0.8332898078,0.9706035253,0.9428860008,1.6811989925,1.0021370656,1.6811989925,-0.0566751082,0.0021347854
KBr,30.0000000000,119.0000000000,0.9460808081,0.1638090337,0.8361909663,0.9711976898,0.9440080764,1.6462106825,1.0021956715,1.6462106825,-0.0554272928,0.0021932645
KBr,30.0000000000,119.0000000000,0.9472606061,0.1607376434,0.8392623566,0.9718230266,0.9451904211,1.6094329603,1.0021902305,1.6094329603,-0.0541810325,0.0021878355
KBr,30.0000000000,119.0000000000,0.9484404040,0.1574269593,0.8425730407,0.9724928701,0.9464585128,1.5700901407,1.0020940075,1.5700901407,-0.0529363234,0.0020918182
KBr,30.0000000000,119.0000000000,0.9496202020,0.1537560150,0.8462439850,0.9732305434,0.9478569286,1.5268260400,1.0018602739,1.5268260400,-0.0516931617,0.0018585457
KBr,30.0000000000,119.0000000000,0.9508000000,0.1494707905,0.8505292095,0.9740849973,0.9494792403,1.4767947399,1.0013910359,1.4767947399,-0.0504515435,0.0013900693
RbCl,30.0000000000,120.9200000000,0.7440000000,0.4559678850,0.5440321150,0.8889944040,0.8001709507,6.9312502521,0.9298013123,6.9312502521,-0.2957142441,-0.0727843584
RbCl,30.0000000000,120.9200000000,0.7460878788,0.4547418378,0.5452581622,0.8894813182,0.8009602475,6.8970694439,0.9314917702,6.8970694439,-0.2929118857,-0.0709679240
RbCl,30.0000000000,120.9200000000,0.7481757576,0.4534989835,0.5465010165,0.8899732184,0.8017583297,6.8625766049,0.9331686742,6.8625766049,-0.2901173586,-0.0691693076
RbCl,30.0000000000,120.9200000000,0.7502636364,0.4522388540,0.5477611460,0.8904702288,0.8025654217,6.8277641329,0.9348317483,6.8277641329,-0.2873306191,-0.0673887142
RbCl,30.0000000000,120.9200000000,0.7523515152,0.4509609630,0.5490390370,0.8909724779,0.8033817558,6.7926241759,0.9364807076,6.7926241759,-0.2845516239,-0.0656263578
RbCl,30.0000000000,120.9200000000,0.7544393939,0.4496648054,0.5503351946,0.8914800986,0.8042075722,6.7571486244,0.9381152578,6.7571486244,-0.2817803301,-0.0638824614
RbCl,30.0000000000,120.9200000000,0.7565272727,0.4483498563,0.5516501437,0.8919932285,0.8050431201,6.7213291025,0.9397350947,6.7213291025,-0.2790166952,-0.0621572576
RbCl,30.0000000000,120.9200000000,0.7586151515,0.4470155700,0.5529844300,0.8925120096,0.8058886573,6.6851569595,0.9413399043,6.6851569595,-0.2762606769,-0.0604509886
RbCl,30.0000000000,120.9200000000,0.7607030303,0.4456613793,0.5543386207,0.8930365889,0.8067444506,6.6486232620,0.9429293622,6.6486232620,-0.2735122334,-0.0587639067
RbCl,30.0000000000,120.9200000000,0.7627909091,0.4442866946,0.5557133054,0.8935671187,0.8076107768,6.6117187852,0.9445031332,6.6117187852,-0.2707713231,-0.0570962747
RbCl,30.0000000000,120.9200000000,0.7648787879,0.4428909024,0.5571090976,0.8941037561,0.8084879220,6.5744340053,0.9460608713,6.5744340053,-0.2680379049,-0.0554483660
RbCl,30.0000000000,120.9200000000,0.7669666667,0.4414733649,0.5585266351,0.8946466638,0.8093761827,6.5367590915,0.9476022189,6.5367590915,-0.2653119379,-0.0538204651
RbCl,30.0000000000,120.9200000000,0.7690545455,0.4400334188,0.5599665812,0.8951960099,0.8102758661,6.4986838989,0.9491268068,6.4986838989,-0.2625933816,-0.0522128678
RbCl,30.0000000000,120.9200000000,0.7711424242,0.4385703739,0.5614296261,0.8957519683,0.8111872899,6.4601979618,0.9506342540,6.4601979618,-0.2598821958,-0.0506258813
RbCl,30.0000000000,120.9200000000,0.7732303030,0.4370835126,0.5629164874,0.8963147184,0.8121107831,6.4212904877,0.9521241671,6.4212904877,-0.2571783407,-0.0490598250
RbCl,30.0000000000,120.9200000000,0.7753181818,0.4355720882,0.5644279118,0.8968844458,0.8130466862,6.3819503524,0.9535961403,6.3819503524,-0.2544817767,-0.0475150302
RbCl,30.0000000000,120.9200000000,0.7774060606,0.4340353241,0.5659646759,0.8974613421,0.8139953513,6.3421660962,0.9550497547,6.3421660962,-0.2517924646,-0.0459918407
RbCl,30.0000000000,120.9200000000,0.7794939394,0.4324724129,0.5675275871,0.8980456050,0.8149571425,6.3019259212,0.9564845790,6.3019259212,-0.2491103655,-0.0444906125
RbCl,30.0000000000,120.9200000000,0.7815818182,0.4308825149,0.5691174851,0.8986374383,0.8159324363,6.2612176913,0.9579001685,6.2612176913,-0.2464354408,-0.0430117147
RbCl,30.0000000000,120.9200000000,0.7836696970,0.4292647573,0.5707352427,0.8992370521,0.8169216214,6.2200289331,0.9592960652,6.2200289331,-0.2437676523,-0.0415555289
RbCl,30.0000000000,120.9200000000,0.7857575758,0.4276182330,0.5723817670,0.8998446630,0.8179250990,6.1783468406,0.9606717983,6.1783468406,-0.2411069619,-0.0401224493
RbCl,30.0000000000,120.9200000000,0.7878454545,0.4259420000,0.5740580000,0.9004604934,0.8189432831,6.1361582818,0.9620268837,6.1361582818,-0.2384533320,-0.0387128831
RbCl,30.0000000000,120.9200000000,0.7899333333,0.4242350801,0.5757649199,0.9010847723,0.8199766001,6.0934498097,0.9633608242,6.0934498097,-0.2358067253,-0.0373272497
RbCl,30.0000000000,120.9200000000,0.7920212121,0.4224964584,0.5775035416,0.9017177342,0.8210254890,6.0502076776,0.9646731104,6.0502076776,-0.2331671045,-0.0359659808
RbCl,30.0000000000,120.9200000000,0.7941090909,0.4207250828,0.5792749172,0.9023596199,0.8220904007,6.0064178587,0.9659632204,6.0064178587,-0.2305344331,-0.0346295197
RbCl,30.0000000000,120.9200000000,0.7961969697,0.4189198633,0.5810801367,0.9030106753,0.8231717984,5.9620660725,0.9672306209,5.9620660725,-0.2279086744,-0.0333183208
RbCl,30.0000000000,120.9200000000,0.7982848485,0.4170796722,0.5829203278,0.9036711514,0.8242701563,5.9171378173,0.9684747681,5.9171378173,-0.2252897922,-0.0320328490
RbCl,30.0000000000,120.9200000000,0.8003727273,0.4152033440,0.5847966560,0.9043413039,0.8253859593,5.8716184111,0.9696951085,5.8716184111,-0.2226777507,-0.0307735781
RbCl,30.0000000000,120.9200000000,0.8024606061,0.4132896760,0.5867103240,0.9050213923,0.8265197017,5.8254930412,0.9708910803,5.8254930412,-0.2200725142,-0.0295409897
RbCl,30.0000000000,120.9200000000,0.8045484848,0.4113374290,0.5886625710,0.9057116790,0.8276718865,5.7787468251,0.9720621154,5.7787468251,-0.2174740473,-0.0283355718
RbCl,30.0000000000,120.9200000000,0.8066363636,0.4093453293,0.5906546707,0.9064124288,0.8288430233,5.7313648821,0.9732076412,5.7313648821,-0.2148823149,-0.0271578164
RbCl,30.0000000000,120.9200000000,0.8087242424,0.4073120703,0.5926879297,0.9071239069,0.8300336266,5.6833324202,0.9743270833,5.6833324202,-0.2122972823,-0.0260082172
RbCl,30.0000000000,120.9200000000,0.8108121212,0.4052363154,0.5947636846,0.9078463783,0.8312442135,5.6346348369,0.9754198682,5.6346348369,-0.2097189148,-0.0248872666
RbCl,30.0000000000,120.9200000000,0.8129000000,0.4031167018,0.5968832982,0.9085801054,0.8324753011,5.5852578382,0.9764854272,5.5852578382,-0.2071471782,-0.0237954523
RbCl,30.0000000000,120.9200000000,0.8149878788,0.4009518450,0.5990481550,0.9093253462,0.8337274027,5.5351875768,0.9775232003,5.5351875768,-0.2045820385,-0.0227332531
RbCl,30.0000000000,120.9200000000,0.8170757576,0.3987403449,0.6012596551,0.9100823522,0.8350010241,5.4844108113,0.9785326412,5.4844108113,-0.2020234619,-0.0217011343
