Salt,Temperature_C,MW_Salt_g_per_mol,RH_Water_Activity,Mass_Fraction_Salt,Mass_Fraction_Water,Mole_Fraction_Water,Mole_Fraction_Water_Ionic_Basis,Molality_mol_per_kg,Activity_Coefficient_Water,Ionic_Strength_mol_per_kg,ln_aw,ln_gammaw
ZnBr2,25.0000000000,225.2000000000,0.7714242424,0.4894263444,0.5105736556,0.9287791309,0.8129772398,4.2565775861,0.9488878712,12.7697327584,-0.2595168072,-0.0524646421
ZnBr2,25.0000000000,225.2000000000,0.7791818182,0.4826523906,0.5173476094,0.9305521787,0.8170653605,4.1427013780,0.9536346244,12.4281041339,-0.2495108609,-0.0474746742
ZnBr2,25.0000000000,225.2000000000,0.7869393939,0.4755889338,0.5244110662,0.9323591566,0.8212579905,4.0270915889,0.9582121612,12.0812747668,-0.2396040425,-0.0426860629
ZnBr2,25.0000000000,225.2000000000,0.7946969697,0.4682072785,0.5317927215,0.9342034505,0.8255648177,3.9095555248,0.9626100249,11.7286665745,-0.2297944072,-0.0381069078
ZnBr2,25.0000000000,225.2000000000,0.8024545455,0.4604741510,0.5395258490,0.9360889438,0.8299969768,3.7898726160,0.9668162269,11.3696178480,-0.2200800668,-0.0337468462
ZnBr2,25.0000000000,225.2000000000,0.8102121212,0.4523506368,0.5476493632,0.9380201304,0.8345673762,3.6677880641,0.9708169099,11.0033641922,-0.2104591876,-0.0296173868
ZnBr2,25.0000000000,225.2000000000,0.8179696970,0.4437907809,0.5562092191,0.9400022627,0.8392911256,3.5430045248,0.9745959084,10.6290135744,-0.2009299883,-0.0257323469
ZnBr2,25.0000000000,225.2000000000,0.8257272727,0.4347397154,0.5652602846,0.9420415475,0.8441861067,3.4151710296,0.9781341652,10.2455130888,-0.1914907383,-0.0221084352
ZnBr2,25.0000000000,225.2000000000,0.8334848485,0.4251311038,0.5748688962,0.9441454140,0.8492737469,3.2838679327,0.9814089409,9.8516037980,-0.1821397551,-0.0187660450
ZnBr2,25.0000000000,225.2000000000,0.8412424242,0.4148835709,0.5851164291,0.9463228847,0.8545800961,3.1485859896,0.9843927188,9.4457579688,-0.1728754034,-0.0157303571
ZnBr2,25.0000000000,225.2000000000,0.8490000000,0.4038955849,0.5961044151,0.9485851055,0.8601373621,3.0086965016,0.9870516471,9.0260895048,-0.1636960927,-0.0130329136
LiI,25.0000000000,133.8500000000,0.1810000000,0.6121492063,0.3878507937,0.8247923311,0.7018268796,11.7916405160,0.2578983582,11.7916405160,-1.7092582477,-1.3551897321
LiI,25.0000000000,133.8500000000,0.1889595960,0.6102279148,0.3897720852,0.8259576268,0.7035160277,11.6966895312,0.2685931642,11.6966895312,-1.6662220648,-1.3145574449
LiI,25.0000000000,133.8500000000,0.1969191919,0.6082876761,0.3917123239,0.8271261102,0.7052131670,11.6017474377,0.2792335724,11.6017474377,-1.6249618277,-1.2757066703
LiI,25.0000000000,133.8500000000,0.2048787879,0.6063280874,0.3936719126,0.8282978669,0.7069184595,11.5068083836,0.2898195473,11.5068083836,-1.5853367534,-1.2384968005
LiI,25.0000000000,133.8500000000,0.2128383838,0.6043487325,0.3956512675,0.8294729846,0.7086320722,11.4118664024,0.3003510456,11.4118664024,-1.5472221626,-1.2028033364
LiI,25.0000000000,133.8500000000,0.2207979798,0.6023491823,0.3976508177,0.8306515533,0.7103541768,11.3169154091,0.3108280165,11.3169154091,-1.5105071141,-1.1685155213
LiI,25.0000000000,133.8500000000,0.2287575758,0.6003289931,0.3996710069,0.8318336656,0.7120849499,11.2219491951,0.3212504011,11.2219491951,-1.4750924573,-1.1355343943
LiI,25.0000000000,133.8500000000,0.2367171717,0.5982877072,0.4017122928,0.8330194169,0.7138245734,11.1269614233,0.3316181322,11.1269614233,-1.4408892188,-1.1037711764
LiI,25.0000000000,133.8500000000,0.2446767677,0.5962248512,0.4037751488,0.8342089048,0.7155732346,11.0319456230,0.3419311342,11.0319456230,-1.4078172551,-1.0731459243
