electrolyte,electrolyte_type,cation,anion,molecule_formula,std_dev_simplified,ref_simplified,max_molality_simplified,std_dev_original,ref_original,max_molality_original,r_M_angstrom,r_X_angstrom,cation_type,anion_type,anion_1_delta_G_formation,anion_1_delta_G_hydration,anion_1_diffusion_coefficient,anion_1_molecular_weight,anion_1_n_atoms,anion_1_n_elements,anion_1_radius_hydrated,anion_1_radius_vdw,anion_1_viscosity_jones_dole,cation_1_delta_G_formation,cation_1_delta_G_hydration,cation_1_diffusion_coefficient,cation_1_molecular_weight,cation_1_n_atoms,cation_1_n_elements,cation_1_radius_hydrated,cation_1_radius_vdw,cation_1_viscosity_jones_dole,molecule_molecular_weight,molecule_n_atoms,molecule_n_elements,molecule_radius_vdw,cation_type_numeric,anion_type_numeric,electrolyte_type_numeric,B_MX_0_simplified,B_MX_1_simplified,B_MX_0_original,B_MX_1_original,B_MX_2_original,C_MX_phi_original
CoI2,2-1,Co^+2,I^-1,2.0,0.028,27,4.25,0.01,9,2.0,0.75,2.2,k,c,0.0,-236.0,2.045e-05,126.90447,1.0,1.0,3.31,1.98,-0.073,0.0,-2003.0,7.32e-06,58.933195,1.0,1.0,4.23,2.0,0.372,312.742135,3.0,2.0,2.0,1,0,21,0.5108,1.7666,0.5213,1.6725,0.0,-0.0047
Cu(NO3)2,2-1,Cu^+1,NO3^-1,3.0,0.022,24,3.5,0.002,9,2.0,0.73,1.79,k,c,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.55,-0.043,0.0,-586.0,1.334e-05,63.546,1.0,1.0,3.58,1.96,0.085,187.5558,9.0,3.0,1.96,1,0,21,0.2477,1.8031,0.3168,1.4303,0.0,-0.0219
CuCl2,2-1,Cu^+1,Cl^-1,2.0,0.006,24,1.0,0.003,9,2.0,0.73,1.81,k,c,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.75,-0.005,0.0,-586.0,1.334e-05,63.546,1.0,1.0,3.58,1.96,0.085,134.452,3.0,2.0,1.96,1,0,21,0.2513,1.5432,0.308,1.3763,0.0,-0.0404
FeCl2,2-1,Fe^+2,Cl^-1,2.0,0.008,27,2.0,0.002,9,2.0,0.78,1.81,k,c,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.75,-0.005,0.0,-1928.0,7.19e-06,55.845,1.0,1.0,4.28,2.04,0.412,126.751,3.0,2.0,2.04,1,0,21,0.3155,1.7278,0.3359,1.5323,0.0,-0.0086
Mg(ClO4)2,2-1,Mg^+2,ClO4^-1,4.0,0.021,15,3.0,0.002,9,2.0,0.72,2.25,k,c,0.0,-185.0,1.792e-05,99.4506,5.0,2.0,3.38,1.75,-0.058,0.0,-1918.0,7.06e-06,24.305,1.0,1.0,4.28,1.73,0.385,223.2062,11.0,3.0,1.73,1,0,21,0.523,1.9144,0.4961,2.0085,0.0,0.0096
MgBr2,2-1,Mg^+2,Br^-1,2.0,0.026,26,5.5,0.004,9,5.0,0.72,1.96,k,c,0.0,-274.0,2.08e-05,79.904,1.0,1.0,3.3,1.85,-0.033,0.0,-1918.0,7.06e-06,24.305,1.0,1.0,4.28,1.73,0.385,184.113,3.0,2.0,1.73,1,0,21,0.447,1.6462,0.4327,1.7528,0.0,0.0031
MgCl2,2-1,Mg^+2,Cl^-1,2.0,0.024,26,4.5,0.003,9,4.5,0.72,1.81,k,c,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.75,-0.005,0.0,-1918.0,7.06e-06,24.305,1.0,1.0,4.28,1.73,0.385,95.211,3.0,2.0,1.73,1,0,21,0.3765,1.5968,0.3524,1.6815,0.0,0.0052
MgI2,2-1,Mg^+2,I^-1,2.0,0.045,26,5.0,0.003,9,5.0,0.72,2.2,k,c,0.0,-236.0,2.045e-05,126.90447,1.0,1.0,3.31,1.98,-0.073,0.0,-1918.0,7.06e-06,24.305,1.0,1.0,4.28,1.73,0.385,278.11394,3.0,2.0,1.73,1,0,21,0.5267,1.4252,0.4902,1.8041,0.0,0.0079
MnCl2,2-1,Mn^+2,Cl^-1,2.0,0.01,24,1.5,0.003,9,2.5,0.83,1.81,k,c,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.75,-0.005,0.0,-1848.0,7.12e-06,54.938045,1.0,1.0,4.38,2.05,0.388,125.844045,3.0,2.0,2.05,1,0,21,0.2919,1.6033,0.3272,1.5503,0.0,-0.0205
Ni(NO3)2,2-1,Ni^+2,NO3^-1,3.0,0.025,42,4.0,0.015,this study,5.0,0.69,1.79,k,c,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.55,-0.043,0.0,-2068.0,6.61e-06,58.6934,1.0,1.0,4.04,1.97,0.379,182.7032,9.0,3.0,1.97,1,0,21,0.297,2.1632,0.3037,2.1307,0.0,-0.0032
NiCl2,2-1,Ni^+2,Cl^-1,2.0,0.014,27,3.25,0.002,9,2.5,0.69,1.81,k,c,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.75,-0.005,0.0,-2068.0,6.61e-06,58.6934,1.0,1.0,4.04,1.97,0.379,129.5994,3.0,2.0,1.97,1,0,21,0.3306,1.6622,0.3479,1.581,0.0,-0.0037
Sr(ClO4)2,2-1,Sr^+2,ClO4^-1,4.0,0.013,12,2.5,0.002,9,2.5,1.13,2.25,k,c,0.0,-185.0,1.792e-05,99.4506,5.0,2.0,3.38,1.75,-0.058,0.0,-1468.0,7.91e-06,87.62,1.0,1.0,4.12,2.49,0.261,286.5212,11.0,3.0,2.49,1,0,21,0.3879,1.8158,0.4269,1.5668,0.0,-0.0131
Sr(NO3)2,2-1,Sr^+2,NO3^-1,3.0,0.005,15,1.0,0.002,9,2.0,1.13,1.79,k,c,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.55,-0.043,0.0,-1468.0,7.91e-06,87.62,1.0,1.0,4.12,2.49,0.261,211.6298,9.0,3.0,2.49,1,0,21,0.0992,1.605,0.1346,1.38,0.0,-0.0199
SrBr2,2-1,Sr^+2,Br^-1,2.0,0.002,26,2.0,0.001,9,2.0,1.13,1.96,k,c,0.0,-274.0,2.08e-05,79.904,1.0,1.0,3.3,1.85,-0.033,0.0,-1468.0,7.91e-06,87.62,1.0,1.0,4.12,2.49,0.261,247.428,3.0,2.0,2.49,1,0,21,0.3321,1.7626,0.3311,1.7115,0.0,0.0012
SrCl2,2-1,Sr^+2,Cl^-1,2.0,0.009,19,3.8,0.003,9,4.0,1.13,1.81,k,c,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.75,-0.005,0.0,-1468.0,7.91e-06,87.62,1.0,1.0,4.12,2.49,0.261,158.526,3.0,2.0,2.49,1,0,21,0.2823,1.5771,0.2858,1.6673,0.0,-0.0013
SrI2,2-1,Sr^+2,I^-1,2.0,0.004,26,2.0,0.001,9,2.0,1.13,2.2,k,c,0.0,-236.0,2.045e-05,126.90447,1.0,1.0,3.31,1.98,-0.073,0.0,-1468.0,7.91e-06,87.62,1.0,1.0,4.12,2.49,0.261,341.42894,3.0,2.0,2.49,1,0,21,0.4043,1.917,0.4013,1.86,0.0,0.0027
